abandon,v. 遺棄
appeal,n./v.吸引；呼籲
appealing,adj.迷人的
appear,v.出現；顯露
appearance,n.外貌；顯露
appetite,n.胃口；食慾
appetizer,n.(主菜前用的) 開胃食物
applaud,v.鼓掌
applause,n.掌聲
appliance,n.器具；裝備
applicable,adj.適用的
applicant,n.申請人
application,n.應用；申請書
apply,v.應用；申請
appoint,v.任命；指派
appointment,n.約定；指派
appraisal,n.評價
appreciate,v.欣賞；感激
appreciation,n.欣賞；感謝
apprehension,n.憂慮
apprentice,n.學徒
approach,n./v.接近；著手處理
appropriate,adj.適當的
approval,n.同意；認可
approve,v.同意；認可
April,n.四月
apron,n.圍裙；工作裙
apt,adj.有…傾向的
aptitude,n.資質
aquarium,n.水族館
arch,n.拱門；拱形
archaeology,n.考古學
architect,n.建築師；設計師
architecture,n.建築學；建築風格
archive,n.檔案
area,n.區域；範圍
arena,n.活動場所(供運動、娛樂的)
argue(ment),v.(n.)爭論；主張
arise,v.升起；復活
arithmetic,adj./n.算術的
arm,n.手臂
armchair,n.扶手椅
armed,adj.武裝的
army,n.軍隊；團體
around,prep./adv.各處；大約
arouse,v.喚起
arrange(ment),v.(n.) 安排
array,n.一長列
arrest,v./n.逮捕；拘留
arrival,n.到達；到達者
arrive,v.到達；抵達
arrogant,adj.傲慢的
arrow,n.箭
art,n.藝術；藝術品
article,n.文章；冠詞
articulate,v.清楚的表達
artificial,adj.人造的
artillery,n.大砲
artist,n.藝術家；藝人
artistic,adj.藝術的
as,prep./adv./conj 如同；當…時；雖然
ascertain,v.查明
ascribe,v.把…歸因於
ash,n.灰燼；骨灰
ashamed,adj.感到羞恥的
aside,adv.在旁邊；除…之外
ask,v.詢問；要求
asleep,adj.睡著的
aspect,n.方面；觀點
aspiration,n.願望
aspirin,n.阿斯匹靈
aspiring,adj.有抱負的
ass,n.驢；蠢人
assassinate,v.行刺
assault,n.攻擊
assemble,v.集合
assembly,n.與會者；議會
assertion,n.紙張
assertive,adj.武斷的
assertively,adv.武斷地
asset,n.資產
assign(ment),v.(n.) 指派
assist,v.協助
assistance,n.協助
assistant,n.助理
associate,v.關聯
associate,n.夥伴
association,n.協會；聯想；合作
assume,v.假定；假裝
assurance,n.保證
assure,v.保證
astonish,v.使驚訝
astronaut,n.太空人
astronomy,n.天文學
asylum,n.庇護(所)
athlete,n.運動員
athletic,adj.運動的
atmosphere,n.氣壓；氣氛
attach(ment),v.(n.) 裝上；附加
attack,v./n.攻擊
attainment,n.達到
attempt,v./n.嘗試
attend,v.參加
attendant,n.服務員
attention,n.注意力
attic,n.閣樓
attitude,n.態度
attract,v.吸引；引誘
attraction,n.吸引力
attractive,adj.有吸引力的
auction,n.拍賣
audience,n.觀眾；聽眾
audio,adj.可聽頻率的
audio-visual,adj.視聽的
auditorium,n.禮堂
August,n.八月
aunt,n.姑媽；阿姨
Australia,prop./n.澳洲
author,n.作者
authority,n.權力；當局
autobiography,n.自傳
automatic,adj.自動的
automatically,adv.自動地
automobile/auto,n.汽車
autonomy,n.自治(權)
autumn,n.秋季
availability,n.有效
avenge,v.報…之仇
avenue,n.大道
average,adj./n./v.平均的
aviation,n.航空(學)
avoid,v.避免；躲開
await,v.等候；期待
awake,adj./v.清醒的；喚醒
awaken,v.意識到；使覺醒
awaking,adj使人覺醒的
award,v./n授予；獎品
away,adv.離開；不在
awful,adj.糟透的
awkward,adj.笨拙的；棘手的
awkwardly,adv.笨拙地
ax,n.斧頭
baby,n.嬰兒；寶貝
baby-sitter,n.保姆
bachelor,n.單身漢；學士
back,adj./adv./n./v. 後面的；背部；贊助
background,n.背景
backward(s),adv.反方向地
bacon,n.燻豬肉；培根肉
bacteria,n.細菌
bad,adj.不好的；有害的
badminton,n.羽毛球
bag,n.袋子
baggage,n.行李；裝備
bail,n.保釋(金)
bait,n./v.誘餌；引誘
bake,v.烘；烤
bakery,n.麵包店
balance,n./v.平衡
balcony,n.陽臺；樓座
bald,adj.禿的
ball,n.球；球狀體
ballad,n.民謠
ballet,n.芭蕾舞
balloon,n.氣球
ballot,n.無記名投票
ballroom,n.舞廳
bamboo,n.竹子
ban,v.禁止
banana,n.香蕉
band,n.帶子；樂團
bandage,n.繃帶
bank,(1)n.銀行
bank,(2)n./v.堤；堆積
banker,n.銀行家
bankrupt,adj./v./n.破產的
banquet,n.宴會
baptism,n.洗禮
bar,n.棒；沙洲；酒吧
barbarian,n.野蠻人
barbecue,n./v.烤肉
barber,n.理髮師
bare,adj.裸的；不加掩飾的
barely,adv.勉強地；露骨地
bargain,n./v.買賣；便宜貨
bargaining,n.議價
bark,n./v.吠叫；咆哮
barkeeper,n.酒吧主人
bam,n.穀倉；牲口棚
barrel,n.大桶
barrier,n.障礙物；棚欄
bartender,n.酒保
base,n./v.基礎
baseball,n.棒球
based,adj.以…為基礎的
basement,n.地下室
basic,adj.基本的
basin,n.臉盆；洗滌槽
basket,n.籃子；簍子
basketball,n.籃球
bass,n.低音部
bastard,n.私生子；令人討厭的人
bat,n./v.球棒
bath,n.澡缸；沐浴
bathe,v.洗澡；沐浴
bathroom,n.浴室
bathtub,n.浴缸
batter,v.毀損
battery,n.電池
battle,n./v.戰役
battlefield,n.戰場
bay,n.海灣
BBC,n英國廣播公司
B.C.,n.西元前
beach,n.海灘
beam,n.樑；光束
bean,n.豆子
bear,n.熊；魯莽之人
bear,v.承受；忍受
beard,n.(下巴上的)鬍鬚
beast,n.野獸
beat,n./v.敲擊；打敗
beautiful,adj.美麗的
beautify,v.美化
beauty,n.美人
because,conj.因為
beckon,v.召喚
become,v.變成
bed,n.床
bedroom,n.臥室
bee,n.蜜蜂
beef,n.牛肉
beer,n.啤酒
before,prep./adv./conj. 在…之前
beg,v.乞求；乞討
beggar,n.乞丐
begin,v.開始
beginner,n.初學者
behalf,n.為了…的利益；代表
behave,v.表現；行為舉止
behavior,n.行為
behind,prep./adv.在…後面；落後
behold,v.見到
Beijing,n./prop.北京
being,n.存在；生物
belief,n.信念；信條
believe,v.相信
bell,n.鐘(聲)；鈴(聲)
belly,n.腹部；胃
belong,v.歸屬於
belongings,n.所有物
beloved,n.所愛的人
below,prep./adv.在…下方
belt,n.腰帶；帶狀物
bench,n.長板凳
bend,n./v.彎曲
beneath,prep.在…下面
beneficial,adj.有益的
benefit,n./v.利益；有益於
berry,n.果
beside,prep.在旁邊
besides,prep./adv.除此之外
besiege,v.包圍
best,adj./adv.最好的
bestseller,n.暢銷品
bet,n./v.打賭
better,adj./adv.更好的
between,prep./adv.介於…之間
beverage,n.飲料
beware,v.當心
bewilder,v.使混亂
beyond,prep./adv.在遠處
bias,n.成見
Biblical,adj.聖經的
bicycle/bike,n.腳踏車
bid,v.出價；吩咐
big,adj.大的
bikini,n.三點式泳裝
bill,n.帳單；鈔票
billion,n.十億；大量
billionaire,n.億萬富翁
bind,v.捆；綁
bingo,n.賓果遊戲
binomial,adj.〔數〕二項式
biochemistry,n.生物化學
biography,n.傳記
biological,adj.生物(學)的
biology,n.生物學
bird,n.鳥
birth,n.出生；分娩
biscuit,n.小麵包；餅乾
bishop,n.主教
bite,n./v.一口之量；咬
bitter,adj.有苦味的；痛苦的
bitterly,adv.酷寒的
bitterness,n.苦；悲傷
bizarre,adj.古怪的
black,adj./n.黑的
blackboard,n.黑板
blame,n./v.責備；歸咎於…
blameworthy,adj.應受責備的
bland,adj.溫和的
blank,adj./n.空白的
blanket,n.毛毯
blast,n.一陣疾風
blaze,n.烈火；光輝
bleak,adj.陰冷(鬱)的
bleed,v.流血
blend,v.使混合
bless,v./n.為…祝福
blessing,n.賜福；同意
blind,adj./v.瞎的；使看不見
blink,v.眨眼；漠視
bloc,n.政治集團
block,n./v.塊；障礙物；堵住
blonde,n.金髮白種人
blood,n.血液
bloody,adj.血腥的
bloom,n./v.花；開花
blossom,n.花(叢)
blow,n./v.吹；吹氣；打擊
blue,adj./n.藍色的
blueprint,n.藍圖
blues,n.勃魯斯音樂；沮喪
bluff,n.虛張聲勢
blunder,n.愚蠢的錯誤
blur,v.使模糊
blush,v./n.臉紅
board,n.木板；牌子
board,v.登上(船或車等)
boast,v.自吹自擂；誇耀
boat,n./v.小船；划船
bodily,adj.身體的
body,n.身體；主要部分
bodyguard,n.侍衛
boil,v./n.沸騰
bold,adj.英勇的；大膽的
boldly,adv.大膽地
bolt,n.螺栓；閃電
bomb,n./v.炸彈；轟炸
bond,n.聯結；契約；債券
bone,n.骨頭；骨質
bonus,n.紅利
book,n.書籍
book,v.預訂；登記
bookcase,n.書架；書櫥
bookstore,n.書店
boom,n.隆隆聲；景氣
boost,v.提升
boot,n.(長筒)靴
booth,n.售貨棚
border,n./v.邊界；比鄰
bore,n./v.使厭煩
bored,adj.感到厭煩的
boring,adj.令人厭煩的
born,adj.出生的
borrow,v.借入
boss,n.老闆
botany,n.植物學
both,adj./adv./pron.兩者皆
bother,v./n.打擾；煩惱
bottle,n./v.瓶子；把…裝瓶
boulevard,n.林蔭大道
bounce,n./v.跳，躍；使反彈
bound,adj.很有可能的；準備前往…的
bow,(1) n.弓；虹；蝴蝶結
bow,(2) v.拉彎；彎曲；鞠躬
bowl,n.碗
bowling,n.保齡球
box,n./v.箱，盒；把…裝箱
boxing,n.拳擊
boy,n.男孩；少年
boycott,v.抵制
brace,n.支撐物
brain,n.腦袋；智力
brake,n./v.煞車
branch,n./v.樹枝；分支
brand,n.商標；烙印
brave,adj.勇敢的
bravery,n.勇敢；勇氣
breach,v.違犯
bread,n.麵包
break,n./v.打破；破曉
breakdown,n.故障
breakfast,n./v.早餐
breakthrough,n突破
break-up,n.瓦解
breast,n.胸部
breath,n.呼吸
breathe,v.呼吸
breathtaking,adj.使人興奮的
breed,n./v.繁衍；滋生
breeder,n.繁殖者
breeze,n./v.微風；和風
brew,v.沖泡；醞釀
brick,n.磚
bride,n.新娘子
bridegroom,n.新郎
bridge,n./v.橋樑；艦橋
brief,adj./n./v.簡短的
briefcase,n.公事包
briefmg,n.簡報
brigade,n.旅；隊
bright,adj.明亮的；聰明的
brighten,v.照亮
brilliant,adj.光輝的；傑出的
bring,v.帶來；引起
brisk,adj.輕快的
Briton,n.英國人
broad,adj.寬廣的；概括的
broaden,v.加寬
broadcast,n./v.廣播；播放
brochure,n.小冊子
broker,n.經紀人
brood,n.一窩
brook,n.小河
brother,n.兄弟
brown,adj./n.棕色的
browse,v噹食；瀏覽
brush,n./v.刷子；刷
brutal,adj.殘忍的
brutality,n.野蠻
bubble,n.氣泡；泡影
buck/dollar,n.(美)元
bucket,n.水桶；桶狀物
bud,n./v.芽；發芽
Buddha,n.佛陀
Buddhism,n.佛教
budget,n./v.預算
buffalo,n.水牛
buffet,n.自助餐；快餐
buffet,v.打擊
bug,n.蟲子
build,v.建造
building,n.建築物
bulb,n. 球莖(根)
bulk,n.大量
bull,n.(未閹割的) 公牛
bullet,n.子彈
bulletin,n.公報；新聞快報
bully,n.恃強凌弱者
bump,v./n.碰；重擊
bun,n.小圓甜麵包；髮髻
bunch,n.一束；一群
bundle,n.捆；包裹
bunk,n.臥鋪
bunker,n.媒倉；掩體
burden,n./v.負擔；加負擔於…
bureau,n.局；處；署
bureaucracy,n.官僚
burglar,n.竊賊
burn,v./n.燃燒；燒傷
burst,v./n.爆發；爆炸
bury,v.埋
bus,n.巴士
bush,n.灌木叢
business,n.商業；交易
businesslike,adj.處事務實的
busy,adj./v.忙碌的
butcher,n.肉商
butter,n./v.奶油；塗奶油於
butterfly,n.蝴蝶
button,n./v.鈕扣；按鈕
buy,v.買
cab,n.計程車
cabbage,n.甘藍菜
cabin,n.客艙
cabinet,n.櫥櫃；密室
cable,n./v.電纜；有線電視
cafe,n.咖啡店；咖啡
cafeteria,n.自助餐館
cage,n./v.籠子；監牢
cake,n.蛋糕
calculate,v.計算
calculation,n.計算
calculator,n.計算機
calendar,n.日曆；行事曆
calf,n.小牛
call,n./v. 呼叫；打電話
calm,adj./v. 鎮靜的
calorie,n.卡路里
camel,n.駱駝
camera,n.照相機
camp,n./v.營地；露營
campaign,n./v.競選活動；戰役
campus,n.(大學的) 校園
can,n./v.罐頭；金屬容器
canal,n.運河
cancel,v.取消
cancer,n.惡性腫瘤；癌症
candidate,n.候選人
candle,n.蠟燭
candy,n.糖果
cane,n.藤條；甘蔗
canvas,n帆布
canyon,n.峽谷
cap,n./v.帽子；覆蓋
capable,adj.有能力的
capacity,n.容量；能力
cape,n披肩；海角
capital,adj./n.主要的；首都；資本
capital(ism),n.資本主義(制度)
capitalist,n.資本家
capitol,n.美國州議會大廈
captain,n.隊長；船(艦)長
caption,n.說明文字
captive,adj.被俘虜的
captivity,n.囚禁
capture,v./n.捕獲；獲物
carbon,n. 碳
card,n.卡片；紙牌遊戲
cardinal,n.紅衣主教
care,n./v.關心；照顧
career,n.職業
carefree,adj.無憂無慮的
careful,adj.仔細的
careless,adj.粗心大意的
caress,v.愛撫
cargo,n.貨物
carnival,n.嘉年華會
carp,n.鯉魚
carpenter,n.木匠
carpet,n.地毯
carriage,n.四輪馬車；運輸
carrier,n.運送人；航空母艦
carrot,n.胡蘿蔔
carry,v.運送；攜帶
cart,n./v.貨車；載運
cartoon,n.卡通；連環漫畫
carve,v.雕刻；開拓
case,(1) n.事實；實例
case,(2) n./v.容器；把…裝入箱中
cash,n./v.現金
cashier,n.出納員
casino,n.賭場
cassette,n.卡式磁帶
cast,n./v.投；演員陣容
caste,n.種姓(制度)
castle,n.城堡
casual,adj.偶然的；碰巧的
