abandon,v. 遺棄
condition,n./v.情況；決定
condom,n.保險套
conductor,n.領導者；指揮
confederation,n.同盟
confer,v.商議；授予
conference,n.會議
confess,v.坦承
confession,n.承認
confide,v.吐露
confidence,n.信心；自信
confident,adj.有自信的
confidently,adv.確信地
confidential,adj.機密的
confine,v.限制；使侷限
confirm,v.詮實
conflict,n./v.衝突
conform,v.遵從
conformity,n.遵從
confront,v.面臨；對抗
confrontation,n.對質；對抗
Confucius,n.孔子
confuse,v.把…弄糊塗；攪亂
confused,adj困惑的
confusion,n.混亂；困惑
congratulate,v.恭喜
congratulation,n.恭喜
congress,n.正式大會；立法機關
congressional,adj.國會的
conjunction,n.結合
connect,v.連結
connection,n.連接；關聯
conquer,v.戰勝
conquest,n.征服
conscientious,adj.盡責的
conscious,adj.神智清醒的
consciously,adv.有意地
consciousness,n.意識；察覺
consecutive,adj.連續的
consensus,n.多數人的意見
consent,n./v.同意
consequence,n.結果；重要性
consequent,adj.因…的結果而起的
conservation,n.保護
conservative,adj.保守的
consider,v.認為；考慮
considerable,adj.值得考慮的
considerate,adj.設想周到的
consideration,n.考慮；動機
consist,v.組成；存在於…
consistent,adj.一致的
consolation,n.慰藉
console,v.安慰
consolidate,v.鞏固
conspiracy,n.陰謀
constable,n.警察
constant,adj.固定的
constitute,v.構成；制定
constitution,n.憲法；法規
constitutional,adj.憲法的
constraint,n.限制
construct,v.建造
construction,n.建造物；建設
constructive,adj.建設性的
consult,v.與…商量
consultant,n.顧問；諮詢者
consultation,n.協商會
consume,v.消耗；花費
consumer,n.消費者
consumption,n.消費
contact,n./v.接觸；聯繫
contagious,adj.傳染性的
contain,v.包含
container,n.容器
contaminate,v.污染物
contemplate,v.深思
contempt,v.輕視
contemptible,adj.卑劣的
contend,v.競爭；鬥爭
content,adj./v.滿足的
content(s),n.內容
contented,adj.滿足的
context,n.上下文
continent,n.大陸；大洲
continental,adj.洲的；大陸的
contingent,adj.因情況而變的
continual,adj.不間斷的
continuation,n.繼績
continue,v.持續
continuous,adj.連續的
contract,n./v.契約
contractor,n.立約人
contradict,v.否認
contradiction,n.矛盾
contrary,adj./n.相反的
contrast,n./v.對比
contribute,v.捐獻；貢獻
contribution,n.貢獻；捐獻
control,n./v.控制
controller,n.控制者
controversial,adj.有爭議的
convene,v.召集
convenience,n.便利設施；方便
convenient,adj.便利的
convention,n.慣例；會議
conventional,adj.慣例的；協定上的
conversation,n.會話；談吐
converse,v.談話
convert,v.轉換
convertible,adj.可轉換的
convey,v.運輸；傳遞
convict,v./n.證明有罪；囚犯
convince,v.說服
convincing,adj.令人信服的
convoy,n.護送(車隊)
cook,n./v.廚師；烹煮
cooker,n.炊具
cookie/cooky,n.甜餅乾
cool,adj./v.涼爽的；使冷卻
cooperate,v.合作
cooperation,n.合作
cooperative,adj.合作的
coordination,n.協調
cop,n.警察
cope,v.競爭；妥善處理
copilot,n.飛機副駕駛
copy,n./v.副本；拷貝
copyright,n.版權
cord,n.細繩；粗線
corn,n.玉米；穀物
comer,n.角落
corporation,n.公司
correct,adj./v.正確的；更正
correlation,n.關聯
correspond,v.符合；通信
correspondent,n./adj.通訊(記)者；一致的
corrupt,adj./v.腐敗的；敗壞
corruption,n.道德敗壞
cosmetic,n./adj.化妝品；美容的
cosmic,adj.宇宙的
cosmopolitan,adj.世界性的
cosmos,n.宇宙
cost,n./v.花費；付出
costly,adj.貴重的；代價高的
costume,n.服裝；戲服
cosy,adj.(=cozy)溫暖舒適的
cottage,n.農舍；小屋
cotton,n.棉
couch,n.長沙發；睡椅
cough,v.咳嗽
council,n.會議
councilman,n.議員
counsel,n.忠告
counseling,n.勸告
counsellor,n.顧問
count,n./v.計算
countable,adj.可數的
countenance,n.表情；支持
counter,n.櫃檯；籌碼
counter,adj./adv./n./v.相反的；反擊
counterattack,n./v.反擊
counterpart,n.互相對應的人(物)
countless,adj.無數的
country,n.國家；鄉下
countryside,n.鄉村
county,n.郡；縣
couple,n.(一)對
coupon,n.優待券
courage,n.勇氣
courageous,adj.勇敢的
course,n.課程；過程
court,n.法庭
courteous,adj.有禮貌的
courtesy,n.有禮的舉止
courtyard,n庭院
cousin,n.表(兄弟姊妹)
cover,n./v.封面；遮蓋
coverage,n.報導；某事所包含的範圍
cow,n.母牛
coward,adj./n.懦弱的；懦夫
cowardice,n.膽小
cowboy,n.牛仔；牧牛人
coworker,n.同事
crab,n.蟹
crack,n./v.爆烈聲；裂開
crackdown,n.取締
cradle,n./v.搖籃；撫育
craft,n.工藝；太空船
cram,v.填塞
crane,n.起重機；鶴
crash,n./v.墜毀；撞擊
crawl,v.爬行；蠕動
crayon,n.蠟筆
crazy,adj.瘋狂的
cream,n.奶油；乳脂
create,v.創造
creation,n.創作；萬物
creative,adj. 有創造力的
creativity,n.創造力
creator,n.創作者
creature,n.生物
credibility,n.可信性
credible,adj.可信的
credit,n./v.信用；賒帳
creditable,adj.值得稱讚的
creed,n.信條
creep,v.躡手躡腳地走
crew,n.(一群)工作人員
cricket,n.蟋蟀
crime,n.罪行；犯罪活動
criminal,adj/n.犯罪的；罪犯
cripple,n.肢體殘障者
crisis,n.危機
critic,n.評論家
critical,adj.關鍵性的；批判的
criticism,n.評論
criticize,v.批評
crocodile,n.鱷魚
crop,n.作物
cross,n./v.交叉；越過
crossing,n.交叉口
crossroad,n.十字路口
crouch,v.蹲伏
crow,n.烏鴉；雞啼聲
crowd,n./v.人群；擠滿
crowded,adj.擁擠的
crown,n./v.王冠；為…加冕
crude,adj.未加工製造的
cruel,adj.殘酷的
cruise,n.乘船遊覽
crumble,v.(使)碎成細屑
crush,v./n.弄碎；壓碎
cry,v./n.哭；叫喊
crystal,adj./n.水晶的
cub,n.幼獸
cube,n.立方體
cubic,adj.立方的
cucumber,n.黃瓜
cue,n.反芻的食物
culminate,v.達到頂點
cult,n.狂熱的崇拜
cultivate,v.耕作；培養
cultural,adj.文化的；教養的
culture,n.文化；教養
cumulative,adj.累積的
cunning,adj.狡猾的；奸詐的
cup,nJv.杯子
cupboard,n.碗櫃
curb,n.抑制
cure,n/v.治療；治癒
curfew,n.宵禁
curiosity,n.好奇心
curious,adj.好奇的
currency,n.貨幣；流通
current,adj./n.目前的；潮流
curriculum,n.課程
curry,n.咖哩食品
curtain,n./v.簾；給…裝上簾子
curve,n./v曲線；使彎曲
cushion,n.墊子
custody,n.監管
custom,n.海關；習慣
customary,adj.習慣上的
customer,n.顧客
cut,n./v.切
cute,adj.可愛的
cycle,n./v.週期；循環
cylinder,n.氣缸
daddy/dad,n.爹地
daily,adj./adv.每日的
dairy,n.乳品店
dam,n./v.水壩；築壩於…
damage,n./v.損害；毀壞
damages,n.損害賠償
dame,n.貴夫人
damp,adj.潮溼的
dance,n./v.舞蹈
dancer,n.舞者
danger,n.危險
dangerous,adj.危險的
dare,v.敢於…；膽敢
daresay,v.我想…；也許…
dark,adj./n.黑暗的
darken,v.使變黑
darkroom,n.暗房
darling,adj./n.親愛的
dart,n.鏢；急衝
dash,v.猛衝
data,n.資料
date,n.棗；棗椰樹
date,n./v.日期；約會
daughter,n.女兒
dawn,n./v.黎明；破曉
day,n白天
daybreak,n.黎明
daydream,n./v.白日夢
daylight,n.日光
dazzle,v.使目眩
dead,adj.死去的；無效的
deadline,n.截止期限
deaf,adj.聾的
deafen,v.使聽不見
deal,n ./v.交易；處理
dean,n.學院院長；主任牧師
dear,adj./n./adv.親愛的
dearly,adv.深切地
debate,n./v.爭論
debt,n.債
debut,n.初次登臺
decease,n.死亡
deceive,v.欺騙
December,n.十二月
decency,n.莊重
decent,adj.得體的
deception,n.欺騙
deceptive,adj.虛偽的
decide,v.決定
decision,n.決定
decisive,adj.果斷的
deck,n.甲板
declaration,n.宣布；聲明
declare,v.宣告；聲明
decline,n./v.下降
decorate,v.裝飾
decoration,n.裝飾；裝溝
decrease,v./n.減少
decree,n.∕v.法令
dedicate,v.奉獻
deduction,n.推斷
deed,n.行為；功績
deem,v.視為
deep,adj./adv.深的
deepen,v.加深
deer,n.鹿
defeat,n./v.失敗；擊敗
defect,n.缺點
defend,v.防守；防衛
defense,n.防衛
defensive,adj.防護的；保衛的
deficiency,n.短缺
deficit,n.赤字
define,v.解釋；給…下定義
definite,adj.明確的；肯定的
defy,v.違抗
degree,n.度數；學位；等級
delay,n./v.拖延
delegate,v.派…為代表
delegation,n.委任
deliberately,adv.故意地
deliberation,n.深思
delicacy,n.精緻
delicate,adj.纖弱的；雅緻的
delicious,adj.美味可口的
delight,n./v.喻快
delightful,adj.令人愉快的
delinquent,adj.不法行為
deliver,v.遞送
delivery,n.投遞；交貨
demand,n./v.請求；要求
demanding,adj.苛責的
demo,n.(= demonstration)遊行示威
democracy,n.民主
democrat,n.民主主義者
democratic,adj.民主的
demon,n.惡鬼
demonstrate,v.證明；展示；遊行
demonstration,n.驗證；示威運動
denial,n.否認
denomination,n.教派
denote,v.意味著
denounce,v.指責
dense,adj.密集的；稠密的
dental,adj./n. 牙齒的；齒音(的)
dentist,n.牙科醫師
deny,v.否定；否認
depart,v.分離；啟程
department,n部門；系
departure,n.分離；啟程
depend,v.依賴
dependent,adj.依賴性強的
depict,v.描繪
deplete,v.使枯竭
deploy,v./n.布署
deport,v.驅逐出境
deposit,n./v.存款；押金；放置
depreciate,v.跌價
depress,v.使沮喪
depression,n.沮喪
deprive,v.剝奪
depth,n.深度
descendant,n.後代
descent,n.下降
describe,v.描述
description,n.描寫；說明?
desert,n.沙漠
desert,v.拋棄
deserve,v.應得
design,n./v.設計
designate,v.指定；任命
designer,n.設計師
desire,n./v.慾望
desk,n.書桌
despairing,adj.自暴自棄的
desperate,adj.絕望的
despise,v.藐視
despite,prep.儘管
dessert,n.甜點；餐後點心
destination,n.目的地
destroy,v.摧毀
destruction,n.破壞
destructive,adj.毀滅性的
detach,v.分開
detail,n./v.細節
detailed,adj.詳細的
detain,v.拘留；耽擱
deter,v.制止
detergent,n.洗潔劑
deteriorate,v.惡化
determination,n.決心
determine,v.決定；堅決
devalue,v.貶值
devastating,adj.毀滅性的
develop(ment),v.(n.)發展
deviation,n.偏離
device,n.裝置
devil,n.魔鬼
devise,v.策劃
devote,v.將…奉獻給
devoted,adj.專心致志的
devotion,n.奉獻
diabetes,n.糖尿病
diagnose,v.診斷
diagnosis,n.診斷(法)
diagram,n.圖表(解)
dial,v./n.撥號；刻度盤
dialect,n.方言
dialogue,n.對話
diamond,n.鑽石
diaper,n.菱形花紋(布)；尿布
diary,n.日記
dictate,v.使聽寫；命令
dictation,n. 聽寫；命令
dictator,n.獨裁者
dictionary,n.字典
die,v.死亡
diehard,n.頑固分子
diet,n.飲食；特種飲食
differ,v.不同於…
difference,n.差異
different,adj.不同的
differential,n.差別
differentiate,v.區分
difficult,adj.困難的
difficulty,n.困難
diffusion,n.擴散
dig,v. 挖；掘
digest,v.消化
digestion,n.消化作用
digital,adj./n.數字式的
dignify,v.使有尊嚴
dignitary,n.權貴
dignity,n.尊嚴
dilemma,n.困境
diligence,n.勤勉
diligent,adj.勤奮的
dilute,v./adj.稀釋(的)
dim,adj.朦朧的
dime,n.一角硬幣
dimension,n.尺寸；範圍
diminish,v.減少
dine,v.用餐
dinner,n.晚餐
dinosaur,n.恐龍
dip,v.浸；泡
diploma,n.學位證書
diplomacy,n.外交
diplomat,n.外交官
direct,adj./v.直接的；指向
direction,n.方向
director,n.主管；導演
directory,n.工商人名錄
dirt,n.污物；泥土
dirty,adj.污穢的
disability,n.無能
disable,v.使失去能力
disadvantage,n.不利之條件
disagree(ment),v.(n)不同意
disappear,v.消失
disappoint(ment),v.(n)使失望
disapproval,n反對
disapprove,v.不贊成
disaster,n.災難
disastrous,adj.多災多難的
disbelieve,v.懷疑
disc/disk,n.圓盤；唱片
discard,v.摒棄
disciple,n.門徒
disciplinary,adj.紀律上的
discipline,n.紀律
disclose,v.露出
disclosure,n.揭露
disco,n.迪斯可舞廳/音樂
discomfort,n.不舒適
disconnect,v.使分離
discontent,n.不滿
discount,n./v.折扣
discourage(ment),v.(n)使洩氣；使沮喪
discouraging,adj.令人洩氣的
discover,v.發現
discovery,n.發現
discreet,adj.考慮周到的
discrepancy,n.不一致
discretion,n.謹慎
discriminate,v.辨別
discrimination,n.歧視；區別
discuss,v.討論
discussion,n.討論
disease,n.疾病
disguise,n./v.偽裝
disgust,n./v.嫌惡；使厭惡
disgusting,adj.令人厭惡的
dish,n.碟；菜餚
dishonest,adj.不誠實的
dishwasher,n.洗碗機
disinterested,adj.公正的
dismantle,v.拆卸
dismay,v.使驚慌
dismiss,v.解散
disorder,n./v.使混亂；騷亂
disorganized,adj.雜亂無章的
dispatch,v.派遣；發送
dispel,v.驅散
dispensable,adj.可有可無的
disperse,v.使散開
displace,v.移開；取代
displacement,n.移位；取代
display,n./v.陳列
displease,v.使不快
disposable,adj.可丟棄的
disposal,n.處理；配置
dispose,v.處理；配置
disposition,n.配置
dispute,v./n.爭論
disqualify,v.取消資格
disregard,v.漠視
disrupt,v.擾亂
dissatisfaction,n.不滿
dissatisfy,v.使不快
dissident,adj./n.持異議的(人)
dissuade,v.勸阻
distance,n.距離
distant,adj.遙遠的
distinct,adj.有區別的
distinction,n.區別
distinctively,ad v.有特色地
distinguish,v.識別
distinguished,adj.卓越的
distort,adj.歪曲
distract,v.使分心
distress,n.悲痛
distribute,v.分配
distribution,n.分配；配給物
district,n.區域
distrust,v.不信任
disturb,v.妨礙；打擾
disturbing,adj.紛亂的
ditch,n.水道；渠道
dive,v./n. 跳水；潛水
diverse,adj.各種各樣的
diversify,v.使多樣化
diversion,n. 轉換
diversity,n.多樣性
divide,v./n.劃分；分歧
dividend,n.股息
divine,adj.神的；神聖的
division,n./v.分開；部門
divorce,n./v.離婚
divorcee,n.離了婚的女人
dizzy,adj.頭暈目眩的
dock,n./v.碼頭
doctor,n.醫生；博士
document,n./v.文件
documentary,n.記錄片
dodge,v./n.避開
dog,n.狗
dogmatic,adj.固執己見的
dole,n./v.救濟金；分發
doll,n.洋娃娃
dollar,n.(美、加等國)元
dolphin,n.海豚
domain,n.領域
domestic,adj.家庭的；國內的
dominant,adj.支配的
dominate,v.支配
donate,v.捐贈
donation,n.捐贈；捐贈物
done,adj.完成的
donkey,n.驢
donor,n.捐贈者
doom,n./v.厄運；注定
door,n.
dormitory/dorm,n.學生宿舍
dosage,n.劑量
dose,n．(藥物等的)一劑
dot,n./v.點；打點於
double,adj./adv./n./v.兩倍的；雙重地
doubt,v./n.懷疑；疑點
doubtful,adj.令人懷疑的
doubtless,adv.無疑地
dough,n.生麵團
doughnut,n.甜甜圈
dove,n. 鴿
down,prep./adj./adv./n./v.在…下方；下面的
downstairs,adv./adj./n.樓下
downtown,adv./adj./n.在城市的商業區；鬧區
downwards,adv.向下的
doze,v.打瞌睡
dozen,n.一打；十二個
draft,n./v.草稿
drag,v.拖曳
dragon,n.龍
dragonfly,n.蜻蜓
drain,v./n.排水
drainage,n.排水系統
drama,n.戲劇
dramatic,adj.戲劇性的
drape,v.覆蓋
drastic,adj.激烈的
draught,n./v.(=draft)草圖；草擬
draw,v.畫；拖拉
drawback,n.障礙；缺點
drawer,n.抽屜；拖曳者
drawing,n素描；製圖
dread,n./v.害怕
dreadful,adj.可怕的
dream,n./v.夢；做夢
dress,n./v.女裝；打扮
drift,v./n.漂流；漂浮物
drill,n./v.鑽頭；鑽床
drink,n./ v.飲料；喝
drive,n./v.車程；駕駛
driveway,n.私用車道
drop,n./v.(一)滴；下降
dropout,n.輟學者
drought,n.乾旱
drown,v.把…淹死；淹沒
drowsy,adj.昏昏欲睡的
drug,n./v.藥品；毒品
drugstore,n.雜貨店
drum,n./v.鼓；打鼓
drunk,adj./n.喝酒醉的
drunkard,n.酒鬼
dry,adj./v.乾燥的；使變乾
dryer,n.吹風機
dual,adj./n.由兩部分構成的
dubious,adj.覺得可疑的
duck,n.鴨子
due,adj.到期的
duke,n.公爵
dull,adj.單調的；遲鈍的
dumb,adj.啞的；愚笨的
dump,v.傾倒
durable,adj.持久的
duration,n.持續
during,prep.在…期間
dust,n./v.灰塵；打掃
dutiful,adj.守本分的
duty,n.義務；稅
dwarf,n./adj.侏儒；矮小的
dweller,n.居民
dye,v./n.染料；染色
dynamic,adj.動力的；動態的
dynamite,n.甘油炸藥
dynasty,n.朝代
each,adj./adv./pron.各個
eager,adj.熱切的
eagerly,adv.渴望地
eagle,n.鷹
ear,n.耳朵；聽力
early,adj./adv.早的
earn,v.賺取；贏得
earnest,adj.認真的
earnings,n.收入；工資
earplug,n.耳塞
earth,n.陸地；地球
earthquake,n.地震
earthworm,n.蚯蚓
ease,n./v.容易；減輕
east,adj./adv./n.東方的
Easter,n.復活節
eastwards,adv.向束
easy,adj./adv.容易的
eat,v.吃；喝
eccentric,adj./n.古怪的(人)
echo,n.回聲；回響
eclipse,n.(日、月)蝕
ecology,n.生態學
economic,adj.經濟上的
economical,adj.經濟的；節儉的
economically,adv.節約的
economics,n.經濟學
economist,n.經濟學者
economy,n.節約；經濟
edge,n./v.邊緣；使鋒利
edible,adj.可食的；食用的
edit,v.編輯
edition,n.發行數；版本
editorial,n.社論
educate,v.教育；教導
educated,adj.受過教育的
education,n.教育；教育學
educational,adj.有教育意義的
educator,n.教育工作者
eel,n.鰻
effect,n.結果；作用；影響
effective,adj.有效的
effectively,adv.有效地
efficiency,n.效率
efficient,adj. 有效率的
effort,n.努力
egg,n.蛋；卵細胞
ego,n.自我
eight,adj./n八
eighteen,adj./n.十八
eighty,adj./n.八十
either,adj./pron.(兩者之中)任一的
either,adv.(在否定句中)也
elaborate,adj.精巧的；複雜的
elastic,adj.有彈性的
elbow,n.肘部；扶手
elder,adj./n.年齡較大的
elderly,adj.年長的
elect,v.選舉
election,n.選舉
elective,adj.由選舉產生的
electric,adj.電的
electrician,n.電工；電氣技師
electricity,n.電；電流
electronic,adj.電子的
electronics,n電子學
elegant,adj.優雅的
element,n.元素
elemental,adj.自然力的
elementary,adj.基本的；初級的
elephant,n.象
elevate,v.使提高
elevator,n.電梯；升降機
eleven,n.十一
eligible,adj./n.有資格的
eliminate,v.消滅；排除
elite,n.精英
eloquent,adj.雄辯的
else,adv.其他；另外
elsewhere,adv.在別處
e-mail,n./v.電子郵件
embargo,v./n.禁止通商
embark,v.裝船；從事
embarrass(ment),v.使出糢
embassy,n.大使館
embody,v.包括
embryo,n./adj.胚胎；未成熟的
emerge,v.浮現；顯露
emergency,n.緊急情況
emigrant,n.移民
emission,n.散發
emotion,n.情感；激動
emotional,adj.感情上的
emperor,n.統治者；皇帝
emphasis,n.強調
emphasize,v.強調
empire,n.帝國；王權
empirical,adj.憑經驗的
employ(ment),v.(n)雇用
employee,n.雇員
employer,n.雇主
empty,adj./v.空的
enable,v.使能夠
enchant,v.使入迷
enclose,v.圍住；把(公文等)封入
encounter,v./n.遭遇；衝突
encourage(ment),v.(n.)鼓勵
encouraging,adj.有激勵作用的
encyclopedia,n.百科全書
end,v./n.結束
endanger,v.使瀕臨危機
endless,adj.無盡的
endorse,v.贊同
endowment,n.天資
endurance,n.耐力
endure,v.忍受
enemy,n.敵人
energetic,adj.充滿活力的
energy,n.活力
enforce(ment),v.(n〕實施
engagement),v.(n)吸引；聘雇；訂婚
engine,n.發動機；引擎
engineer,n.工程師
engineering,n.工程
enhance,v.增加
enjoy(ment),v.(n.)享受
enjoyable,adj.有樂趣的
enlarge(ment),v.(n.)擴大
enlighten,v.敵發
enlist,v.入伍
enormous,adj.巨大的
enough,adj./adv./n.足夠的
enrich,v.使富裕
enroll,v.使加入；註冊
ensue,v.接著發生
ensure,v.確保
entail,v.使成為必要
enter,v.進入；參加
entertain(ment),v.(n)娛樂
enthusiasm,n.熱心
enthusiastic,adj.有熱忱的
entire,adj.全部的
entry,n.進入
envelope,n.信封
envious,adj.妒嫉的
environment,n.環境；圍繞
environmental,adj.環境的
envisage,v.預見
envy,v.嫉妒；羨慕
enzyme,n.酵素
epic,n./adj.史詩(般的)
epigram,n.雋語
equal,adj./n./v.相等的
equality,n.相等；平等；均等
equip(ment),v.(n〕裝備以
equivalent,adj./n.相同的
era,n.年代
erase,v.擦掉；抹去
eraser,n.擦除器(如橡皮擦)
erode,v.侵蝕
erosion,n.侵蝕
err,v.犯錯
errand,n.差事；任務
error,n.錯誤
escalator,n.電扶梯
escape,v./n.逃跑；逃避
escort,v./n.護衛(者)
essay,n.散文；論說文
essence,n.本質；精華
essential,adj.必要的；精華的
essentially,adv.基本上
establish(ment),v.(n)建立
esteem,n./v.尊敬
estimate,n./v.估計；預計
etemity,n.永恆
ethic,n.倫理
ethics,n.倫理(學)
ethnic,adj.種族的
etiquette,n.禮節
evaluate,v.評估
evaluation,n.估算
evaporate,v.蒸發
eve,n.前夕
even,(1) adv.甚至；連
even,(2) adj./v.平坦的
evening,n.晚上
event,n.事件
eventual,adj.結果的
ever,adv.永遠
evergreen,n./adj.常青樹(的)
every,adj.每個
evidence,n./v.證據；物證
evident,adj.明顯的
evil,adj./n.邪惡的
evoke,v.喚起
evolution,n.演化(論)
evolve,v.使逐漸發展
exact,adj.精確的
exaggerate,v.誇大
exaggeration,n.誇張
examination/exam,n.考試
examine,v.檢查；調查
examinee,n.應試者
examiner,n.主考人；審查員
example,n.例子；樣品
exceedingly,adv.極其
excel,v.擅長
excellence,n.傑出；優點
excellent,adj.傑出的；卓越的
except,prep.除了…之外
exception,n.例外
exceptional,adj.例外的；特殊的
exchange,v./n.交換；交易
excite(ment),v.(n.)使興奮
exclaim,v.驚叫
exclusively,adv.專門地
excuse,n./v.藉口；原諒
executive,adj.執行的
exempt,v./adj./n.豁免(的)；被免除義務者
exercise,n./v.運動；鍛鍊
exhaust,(2)v.汲乾；使精疲力盡
exhibit,v./n.展示
exhibition,n.展示會
exile,n./v.放逐
exist,v.存在；生存
existence,n.存在
exit,n./v.出口
exotic,adj./n.異國風情的
expand,v.展開；擴大
expansion,n.擴展；膨脹
expect,v.期望
expectation,n.期望
expedition,n.探險(隊)
expel,v.趕走
expend,v.花費
expensive,adj.昂貴的
experience,n./v.經驗
experiment,n./v.實驗
experimental,adj.實驗性質的
experimentation,n.實驗
expert,adj./n.熟練的；專家
expertise,n.專業知識
expire,v.期滿
explain,v.解釋
explanation,n.解釋
explicit,adj.清楚的
explode,v.爆炸
exploration,n.研究
explore,v.探索
explosion,n.爆炸；劇變
explosive,adj./n.爆炸性的
export,v./n.出口
expose,v.使暴露於
exposure,n.暴露；陳列
express,v. 表達
expression,n.表情；表示
extend,v.延伸
extension,n.伸長；延期
extensive,adj.廣大的
exterior,adj.外部的
extinct,adj.絕種的
extra,adj./adv./n.額外的
extract,v.拔出；摘錄
extracurricular,adj.課外的
extraordinary,adj.異常的
extravagance,n.浪費
extreme,adj./n.盡頭的；極限
eye,n./v.眼睛
eyesight,n.視力
eyewitness,n.目擊者
fable,n.寓言；虛構的故事
face,n./v.面孔；面臨
facial,adj.面部的；表面的
facility,n.設備；能力
fact,n.事實
factor,n.因素；代理人
factory,n.工廠
faculty,n.官能；技能
fade,v.凋謝；枯萎
fail,v./n.失敗；不及格
failure,n.失敗
faint,adj./v./n.頭暈的；暈倒
fair,(1) adj./adv.公平的
fair,(2) n.集市；商品展覽會
fairy,adj./n.仙女
faith,n.信念；諾言
faithful,adj.忠誠的
fake,adj./n./v.假的；偽造
fall,(1) v./n.落下
fall,(2) n.秋天；秋季
fame,n./v.聲譽
familiar,adj.熟悉的
family,n.家庭；家人
famous,adj.著名的
fan,n./v.扇子；煽動
fancy,adj./n./v.迷戀
fantastic,adj.想像中的
fantasy,n.空想；幻想
far,adj./adv.遙遠的
faraway,adj.遠方的
fare,n.車費；伙食
farewell,n.告別；告別詞
farm,n.農莊；農場
farmer,n.農人；農場經營者
farther,adv./adj.進一步地
fashion,n./v.時尚；風氣
fast,adj./adv.快速的
fasten,v.繫緊；集中注意力
fat,adj./n.肥胖的
fatal,adj.致命的
fate,n.命運
father,n.父親
fault,n./v.缺點；錯誤
favor,n./v.贊同；偏袒
favorable,adj.贊同的；適合的
favorite,adj./n.特別喜愛的
fax,v./n.傳真；傳真機
fear,n./v.害怕
feather,n.羽毛；鳥類
feature,n./v.特徵
February,n.二月
fee,n.酬金；服務費
feed,v./n.餵食
feel,v./n.摸；感覺
feet,n. [pl.]腳
fellow,adj./n.同伴的；伙伴
female,adj./n.女的；雌性的
fence,n./v.柵欄；防衛
ferry,n./v.擺渡；渡輸
fertile,adj.多產的；富饒的
fertilizer,n.肥料；促進發展者
festival,n.節日；歡樂
fever,n.發燒；狂熱
few,adj./n./pron.少數
fiction,n.小說；虛構的事
field,n.原野；欄位
fierce,adj.兇猛的；猛烈的
fifteen,adj./n.＋五
fifth,adj./n.第五(的)
fifty,adj./n.五十
fight,v./n.打鬥；爭吵
fighter,n.鬥士；戰鬥機
film,n./v.軟片；電影
final,adj.最後的
finance,n./v.財政
financial,adj.財政的；金融的
find,v./n. 尋找；得到
finger,n./v.手指；指出
finish,v./n.結束；完成
fire,(1)n./v.火；開火
fire(2),v.激動；突然發怒
firm,adj/adv./v.堅決的；使穩固
first,adj./n adv.第一的
fish,n./v.魚類；釣魚
fisherman,n.漁民；漁夫
fist,n.拳頭；支配
fit,adj/n/v.適合的
five,adj/n.五
fix,v.修理；校準
flag,n./v.旗子
flame,n./v.火焰；燃燒
flash,n./v閃爍；燈光
flat,adj/adv.平坦的
flatter,v.諂媚；奉承
flavor,n./v.味道；調味料
fiea,n.跳蚤
flee,v.逃走；逃離
flesh,n.肉體
flexible,adj.有彈性的
fught,n.航程；飛機
float,v.飄浮；搖擺
flock,n./v.群；聚集
flood,n./v.洪水；淹沒使氾濫
floor,n.地板
flour,n.麵粉
flow,n./v.漲潮；流動
flower,n./v.花朵；開花
fiu,n.流行性感冒
fluent,adj.流暢的
foam,n./v.泡沬
focus,n./v.焦點；集中
fog,n./v.霧氣；以霧籠罩
foggy,adj.多霧的
fold,n./v.摺疊；交疊
folk,n.(某一民族或社會階層中的)廣大成員
follow,v.跟隨
follower,n.追隨者；擁護者
following,adj./n.接著的
fond,adj. 喜歡的；愛好的
food,n.食物
fool,(1) n.傻瓜
fool,(2) v.愚弄；開玩笑
foolish,adj. 愚蠢的
foot,n.腳；足
forbid,v.禁止；阻止
force,n./v.強迫；力量
forecast,n./v.預測；預言
forehead,n.額；前額
foreign,adj.外國的；陌生的
foreigner,n.外國人
forest,n.森林
forever,adv.永遠
forge,v.打(鐵等)
forget,v.忘記
forgetful,adj.健忘的
forgive,v.原諒
fork,n./v.叉子；分岔
form,n./v.形狀；構成
formal,adj.正式的
formation,n.形成；組成
former,adj.先前的；從前的
formula,n.配方；客套話；準則
fort,n.堡壘
forth,adv.向前
fortunate,adj.幸運的
fortune,n.財產；好運
forty,adj./n.四十
forward,adj./v.向前；今後
forward(s),adv.向前；今後
found,v.創立
foundation,n.建立；基金會
founder,n.創立者；締造者
fountain,n.噴泉；噴水池
four,adj./n.四
fourteen,adj./n.十四
fox,n.狐狸
fragment,n.碎片；未完成的部分
fragrance,n.芬芳
frame,n./v.架構
frank,adj.坦白的
free,adj.自由的
freedom,n.自由；獨立自主
freeway,n.高速公路
freeze,v.冰凍
freezer,n.冰箱
frequency,n.頻率；頻緊
frequent,adj.頻繁的
fresh,adj.新鮮的
freshman,n.新鮮人
Friday,n.星期五
friend,n.朋友
friendly,adj.友善的
friendship,n.友誼
frighten,v.使害怕
frog,n.青蛙
from,prep.始於；出自
front,adj./n.前面(的)
frost,n./v.霜；凍
frown,v./n.皺眉；表示不滿
fruit,n.水果；成果
frustrate,v.使挫敗
fry,v.油炸
fuel,n./v.燃料；加燃料
fulfill(ment),v.(n)實現
full,adj.滿的；完全的
fun,n.娛樂；玩笑
function,n./v.功能；運行
functional,adj.起作用的
